,Movie title,Duration,Genre,Description,Image link
30,Kendasampige (PG),99 minutes,Thriller,"Kendasampige (Kannada: ಕೆಂಡಸಂಪಿಗೆ) is a 2015 Indian Kannada thriller film directed by Duniya Soori and written by Surendranath. It stars Santhosh Reva and Manvitha Harish in the lead roles, making their debuts with the film. Rajesh Nataranga, Prakash Belawadi and Chandrika feature in supporting roles. The film was released with a tagline Part II Ginimari Case, and is a sequel to Soori's forthcoming film Kaage Bangara. The plot which is centered around a couple who are framed in a case of crime and are on a run from police, exposes the nexus between the latter and the influential.",https://www.gv.com.sg/media/imagesresize/img4516.jpg
31,Life Of Josutty (PG13: Some Sexual References),160 minutes,Family,"After the all-time block buster movie “DRISHYAM” , ace director Jeethu Joseph comes up with “Life Of Josutty”",https://www.gv.com.sg/media/imagesresize/img4517.jpg
32,Amar Akbar Anthony (PG13: Some Violence),141 minutes,Comedy,"Amar Akbar Anthony is a Malayalam comedy-thriller directed by former mimicry artist and actor Nadirshah .Prithviraj, Indrajith and Jayasurya are reuniting after the much popular film ‘Classmates’",https://www.gv.com.sg/media/imagesresize/img4518.jpg
33,Thoonga Vanam (PG13: Some Violence),127 minutes,Crime Thriller,"Directed by Rajesh M Selva an assistant of Kamal Haasan and music composed by Ghibran, Thoonga Vanam is an upcoming crime thriller movie with a stellar star cast which includes Kamal Haasan, Trisha, Prakash Raj.",https://www.gv.com.sg/media/imagesresize/img4519.jpg
34,Singapore World International Film Festival,127 minutes,Crime Thriller,"Directed by Rajesh M Selva an assistant of Kamal Haasan and music composed by Ghibran, Thoonga Vanam is an upcoming crime thriller movie with a stellar star cast which includes Kamal Haasan, Trisha, Prakash Raj.",https://media.gv.com.sg/imagesresize/imgcb5f02c1-0920-42e0-b44f-a5f56ffbb89b.jpg
35,Prem Ratan Dhan Payo (PG),171 minutes,Family/ Love,"Prem ‘Dilwala’ is a happy go lucky man who does ‘Ramleelas’ (stage plays based on Lord Rama) in Ayodhya, India…He knows all the Shlokas by heart and the purity of the scriptures resonates in all his pranks and fun. All that he earns, he donates to a charitable fund which is run by Princess Maithili. He is enchanted by the simplicity of her nature, her leading a normal life and yet being brave enough to save people in the middle of floods. He sets out to meet her. The film is all about him meeting her and the purity of the bond that they share.",https://www.gv.com.sg/media/imagesresize/img4521.jpg
36,Bajirao Mastani (PG13: Some Violence ),158 minutes,Drama,"In 16th century India, an undefeated warrior, Bajirao Ballal was bestowed with the title of Peshwa, or Prime Minister, by the Hindu Maratha King Shahu. He became the greatest weapon of the Maratha Empire, which he expanded through non-stop war campaigns 8 months of the year.  ",https://www.gv.com.sg/media/imagesresize/img4522a.jpg
37,Inji Iduppazhagi (PG),125 minutes,Romantic Comedy,"The story is a romantic comedy revolving around three people, Sweety, Abhimanyu and Simran. Soundarya a.k.a Sweety – a 150-pound Witty, Messy, Lazy, Dreamer. Her mother’s only desire is to see her married off to an NRI and in the process is constantly trying to turn Sweety into something she isn’t. Sweety is stubborn in her thought “let my better half take me as a whole, instead of the half my mother insists me to become.”",https://www.gv.com.sg/media/imagesresize/img4523.jpg
38,Sowkarpettai (PG13: Some Violence),138 minutes,Horror,"Hero Vetri & Maya are introduced as Lovers and they dream about their marriage. Financier Godra Settu from Sowcarpettai, used to receive multiple interest for amounts given to the customers. He murders Vetri’s family in order to take away their properties. The mysterious powers of Vetri & Maya longs to take revenge on Settu. Meanwhile the Mysterious powers takes away the lives of two of the Settu’s sons. Settu begins to fear for his life. Sakthi ,an agony possesses very strong magical powers wanted Maya by destroying Sakthi. And hence war begins between Sakthi & Vetri. Because of Agori’s magical power, both Vetri & Maya’s mysterical powers loses its efficiency, meanwhile sakthi loses the family’s strength. Same time Vetri family’s initial root Vadivukkarasi appears as a prophet.",https://www.gv.com.sg/media/imagesresize/img4524.jpg
39,Bridge Of Spies (PG13: Some Coarse Language),142 minutes,Thriller,"A dramatic thriller set against the backdrop of a series of historic events, DreamWorks Pictures/Fox 2000 Pictures’ “Bridge of Spies” tells the story of James Donovan, a Brooklyn lawyer who finds himself thrust into the center of the Cold War when the CIA sends him on the near-impossible task to negotiate the release of a captured American U-2 pilot.",https://www.gv.com.sg/media/imagesresize/img5505.jpg
40,Goosebumps (PG: Frightening Scenes),103 minutes,Action/ Comedy,"Upset about moving from a big city to a small town, teenager Zach Cooper (Dylan Minnette) finds a silver lining when he meets the beautiful girl, Hannah (Odeya Rush), living right next door. But every silver lining has a cloud, and Zach's comes when he learns that Hannah has a mysterious dad who is revealed to be R. L. Stine (Jack Black), the author of the bestselling Goosebumps series. It turns out that there is a reason why Stine is so strange... he is a prisoner of his own imagination - the monsters that his books made famous are real, and Stine protects his readers by keeping them locked up in their books. When Zach unintentionally unleashes the monsters from their manuscripts and they begin to terrorize the town, it's suddenly up to Stine, Zach, and Hannah to get all of them back in the books where they belong. Note: Scholastic has sold over 400 million Goosebumps books worldwide in 32 languages since the series introduction in 1992, earning critical acclaim and dominating global best seller lists. R.L. Stine has been recognized as one of the bestselling children's authors in history.",https://www.gv.com.sg/media/imagesresize/img5506.jpg
41,Spectre (PG13: Some Violence),148 minutes,Action Adventure,"In SPECTRE, a cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://www.gv.com.sg/media/imagesresize/img5507.jpg
42,(Atmos) Maze Runner: The Scorch Trials (PG: Some Violence),132 minutes,Sci-Fiction,"In this next chapter of the epic ""Maze Runner"" saga, Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.",http://media.gv.com.sg/imagesresize/img5412.jpg
43,Scouts Guide To The Zombie Apocalypse (M18: Nudity & Violence),132 minutes,Comedy/Horror,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes. When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",https://www.gv.com.sg/media/imagesresize/img5509.jpg
